Date,Open,High,Low,Close,Volume
2025-05-01 00:00:00,2.1907,2.1912,2.19,2.1909,84444.5
2025-05-01 00:01:00,2.1909,2.1922,2.1909,2.1918,14109.6
2025-05-01 00:02:00,2.1919,2.192,2.1911,2.1919,30019
2025-05-01 00:03:00,2.192,2.1924,2.1868,2.1882,172235.5
2025-05-01 00:04:00,2.1882,2.1946,2.1882,2.1945,51620.2
2025-05-01 00:05:00,2.1946,2.1965,2.1935,2.1937,84518.1
2025-05-01 00:06:00,2.1937,2.194,2.1926,2.1932,16887
2025-05-01 00:07:00,2.1932,2.194,2.1912,2.1936,16070.9
2025-05-01 00:08:00,2.1936,2.1944,2.1935,2.1944,8400.9
2025-05-01 00:09:00,2.1944,2.1946,2.1938,2.1945,20839.2
2025-05-01 00:10:00,2.1945,2.1957,2.1942,2.195,35736
2025-05-01 00:11:00,2.195,2.1966,2.1946,2.1965,99467.2
2025-05-01 00:12:00,2.1965,2.1965,2.1942,2.1949,16248.1
2025-05-01 00:13:00,2.1948,2.1963,2.1948,2.1954,22483.7
2025-05-01 00:14:00,2.1953,2.1953,2.1928,2.1937,36008.9
2025-05-01 00:15:00,2.1937,2.1956,2.1937,2.1949,91347
2025-05-01 00:16:00,2.1948,2.1948,2.193,2.1932,37027.3
2025-05-01 00:17:00,2.1932,2.1936,2.1912,2.1922,30398.3
2025-05-01 00:18:00,2.1923,2.1924,2.1911,2.1917,16850.7
2025-05-01 00:19:00,2.1917,2.1935,2.1913,2.1931,26348.6
2025-05-01 00:20:00,2.1932,2.1943,2.1932,2.1938,13586.9
2025-05-01 00:21:00,2.1937,2.1942,2.1913,2.1915,45823.9
2025-05-01 00:22:00,2.1916,2.1923,2.1909,2.1914,35395.9
2025-05-01 00:23:00,2.1914,2.1919,2.1908,2.1915,27697.4
2025-05-01 00:24:00,2.1915,2.1932,2.1915,2.1919,65654.8
2025-05-01 00:25:00,2.1919,2.1929,2.1908,2.1929,53250.2
2025-05-01 00:26:00,2.193,2.1954,2.1929,2.1951,35987.6
2025-05-01 00:27:00,2.1952,2.1958,2.1928,2.1929,28433.4
2025-05-01 00:28:00,2.193,2.1937,2.1923,2.1932,16773.1
2025-05-01 00:29:00,2.1931,2.1942,2.193,2.1937,9152.5
2025-05-01 00:30:00,2.1936,2.1936,2.1913,2.1913,34230.7
2025-05-01 00:31:00,2.1914,2.192,2.1903,2.1912,39004.2
2025-05-01 00:32:00,2.1912,2.1926,2.1905,2.1905,21412
2025-05-01 00:33:00,2.1906,2.191,2.1896,2.1907,47100
2025-05-01 00:34:00,2.1907,2.1923,2.1905,2.1914,28768.7
2025-05-01 00:35:00,2.1913,2.192,2.1909,2.1909,28220.8
2025-05-01 00:36:00,2.1909,2.1911,2.1897,2.1897,19959.7
2025-05-01 00:37:00,2.1897,2.1898,2.1881,2.1882,22928.2
2025-05-01 00:38:00,2.1881,2.1913,2.1881,2.1913,48692.1
2025-05-01 00:39:00,2.1913,2.1924,2.1906,2.1908,66722.5
2025-05-01 00:40:00,2.1907,2.1914,2.1906,2.1907,14819.3
2025-05-01 00:41:00,2.1907,2.1915,2.1902,2.1915,25380.5
2025-05-01 00:42:00,2.1914,2.1922,2.1912,2.1912,26858.7
2025-05-01 00:43:00,2.1913,2.1917,2.1912,2.1916,12982.9
2025-05-01 00:44:00,2.1915,2.1916,2.1907,2.1909,20478.8
2025-05-01 00:45:00,2.191,2.1928,2.1909,2.1925,42929.5
2025-05-01 00:46:00,2.1926,2.1937,2.192,2.1935,21351.6
2025-05-01 00:47:00,2.1936,2.1968,2.1936,2.1967,107862.8
2025-05-01 00:48:00,2.1968,2.1972,2.1967,2.1972,30909.3
2025-05-01 00:49:00,2.1971,2.1972,2.1954,2.1964,149134.7
2025-05-01 00:50:00,2.1964,2.1966,2.195,2.1966,22213.4
2025-05-01 00:51:00,2.1966,2.197,2.1962,2.1966,11793
2025-05-01 00:52:00,2.1966,2.1971,2.1961,2.197,15297.6
2025-05-01 00:53:00,2.197,2.1971,2.1959,2.1959,22533.3
2025-05-01 00:54:00,2.1958,2.1959,2.1953,2.1958,30147.1
2025-05-01 00:55:00,2.1958,2.1959,2.1943,2.1948,62617.5
2025-05-01 00:56:00,2.1947,2.195,2.1936,2.1941,63896.1
2025-05-01 00:57:00,2.1941,2.1945,2.1936,2.1944,6198.7
2025-05-01 00:58:00,2.1944,2.1955,2.1938,2.1944,15974.5
2025-05-01 00:59:00,2.1943,2.1966,2.1943,2.1966,39340.5
2025-05-01 01:00:00,2.1966,2.197,2.1958,2.1959,25467.3
2025-05-01 01:01:00,2.1959,2.1982,2.1958,2.1982,17053.1
2025-05-01 01:02:00,2.1981,2.1987,2.1978,2.1979,26343.8
2025-05-01 01:03:00,2.198,2.1992,2.198,2.1985,11082.3
2025-05-01 01:04:00,2.1986,2.2009,2.1986,2.2009,40849.4
2025-05-01 01:05:00,2.2009,2.201,2.2001,2.2004,61674.9
2025-05-01 01:06:00,2.2004,2.2019,2.1994,2.2018,65486.5
2025-05-01 01:07:00,2.2018,2.2027,2.2018,2.2024,25941.7
2025-05-01 01:08:00,2.2023,2.2023,2.2008,2.2014,61073.2
2025-05-01 01:09:00,2.2014,2.2027,2.2004,2.2005,31683.4
2025-05-01 01:10:00,2.2005,2.2016,2.2005,2.2015,12628.2
2025-05-01 01:11:00,2.2015,2.2015,2.2001,2.2008,53873.1
